generated_at,model_id,artifact_id,artifact_version,monthly_revenue_history_blob_sha256,monthly_revenue_canonical_table_sha256,cross_market_resolution_registry_canonical_sha256,source_projection_id,source_projection_version,source_projection_policy_id,source_projection_cutoff_date,source_projection_cutoff_revenue_subset_semantic_sha256,source_projection_cutoff_price_input_semantic_sha256,source_projection_applied_monthly_resolution_semantic_sha256,source_projection_applied_price_resolution_semantic_sha256,source_fixed_confirmation_artifact_id,source_fixed_confirmation_artifact_version,source_fixed_confirmation_cutoff_row_count,source_fixed_confirmation_cutoff_semantic_sha256,source_lag_detail_row_count,source_lag_detail_semantic_sha256,analysis_basis,episode_key,stock_id,stock_name,source_monthly_revenue_period,source_monthly_revenue_source_table_date,source_trade_date,source_stock_sequence_index,signal_date,strict_30_20_streak_months,source_to_signal_trading_days,source_revenue_or_price_anomaly_candidate_flag,abs_ge80_anomaly_candidate_flag,observation_selection_status,observation_suppression_reason,observation_available_candidate_days,observation_cutoff_date,observation_last_trade_date,mature_for_126d_classification,trigger_id,trigger_label_zh,trigger_observed_flag,first_trigger_date,first_trigger_lag_trading_days,outcome_definition_id,outcome_label_zh,launch_found_flag,launch_date,launch_lag_trading_days,launch_close,launch_raw_close,launch_analysis_price_adjustment_factor,first_hit_20_day_offset,d20_close_return_pct,post_hit_min_close_return_pct,d20_max_close_return_pct,launch_path_anomaly_candidate_flag,launch_raw_path_anomaly_candidate_flag,observation_price_path_anomaly_candidate_flag,observation_price_path_resolved_flag,observation_price_comparability_resolution_ids,observation_unresolved_price_path_anomaly_candidate_flag,classification_at_126d,late_launch_after_126d_flag,same_stock_full_observation_non_overlap_applied,retrospective_label_status,availability_date_semantics,approved_for_daily,production_change
2026-08-02 19:47:54 Asia/Taipei,revenue_unreacted_range,revenue_unreacted_range_launch_timing_feature_audit,launch_timing_breakout_feature_v4_20260802,84424e2ce456a0334268b54851d8a395f0cf3826fa755d0e589b2a797005d84e,89df0f3a5d19facb9169970450108b0bb32d0b41548d1a834fa4055bbe323e21,a109e7e2f041f7fa116a5d123dfc4b4bd24f508ece7b2e9721e44c293a608fdb,revenue_unreacted_range_source_snapshot_asof_20260713,source_snapshot_projection_v1_20260731,raw_source_and_price_truncated_before_source_first_episode_assembly_v1,20260713,89df0f3a5d19facb9169970450108b0bb32d0b41548d1a834fa4055bbe323e21,b6eec3d62cca5b32efbe9b81acc1dcc6709f37c77f7af59eb860c23603422787,c7a76d7c1d531d248e04106e4191d3efd268dadbc1aa4ff08a404ef0e22a5c29,379fd42dd2c1298f6e67dbede798bccb2679d4c58bc56742518234cec8d11aac,revenue_unreacted_range_fixed_confirmation_feature_contrast_audit,fixed_range23_breakout_3d_confirmation_d20_v2_anomaly_candidate_primary,1710,0f1689d03a54f97f3cff73e9c9245b6daabce62ee8de80696e9a59779d66b968,1710,b12f0e4247fc2333df1891a04710e98f80c4c1b1b948dbc1cc4bc9e0e1b54aa6,primary_candidate_retaining,3131|20251231|range23_highest_close_breakout|3|confirmation_d20_close,3131,,202511,20251217,20251217,12,20251231,10,9,False,False,accepted,none,113,20260713,20260713,False,no_breakout_requirement,只找可持續上漲起點，不要求高點突破,True,20251217,0,d20_close_ge20,發動後第 20 個交易日收盤仍上漲至少 20%,True,20251217,0,1380.0,1380.0,1.0,11,29.7101,27.5362,33.3333,False,False,False,False,,False,launch_within_126d,False,True,research_only_future_outcome_label_not_tradable_trigger,conservative_next_month_17th_or_first_official_snapshot_not_exact_company_release_timestamp,False,False
2026-08-02 19:47:54 Asia/Taipei,revenue_unreacted_range,revenue_unreacted_range_launch_timing_feature_audit,launch_timing_breakout_feature_v4_20260802,84424e2ce456a0334268b54851d8a395f0cf3826fa755d0e589b2a797005d84e,89df0f3a5d19facb9169970450108b0bb32d0b41548d1a834fa4055bbe323e21,a109e7e2f041f7fa116a5d123dfc4b4bd24f508ece7b2e9721e44c293a608fdb,revenue_unreacted_range_source_snapshot_asof_20260713,source_snapshot_projection_v1_20260731,raw_source_and_price_truncated_before_source_first_episode_assembly_v1,20260713,89df0f3a5d19facb9169970450108b0bb32d0b41548d1a834fa4055bbe323e21,b6eec3d62cca5b32efbe9b81acc1dcc6709f37c77f7af59eb860c23603422787,c7a76d7c1d531d248e04106e4191d3efd268dadbc1aa4ff08a404ef0e22a5c29,379fd42dd2c1298f6e67dbede798bccb2679d4c58bc56742518234cec8d11aac,revenue_unreacted_range_fixed_confirmation_feature_contrast_audit,fixed_range23_breakout_3d_confirmation_d20_v2_anomaly_candidate_primary,1710,0f1689d03a54f97f3cff73e9c9245b6daabce62ee8de80696e9a59779d66b968,1710,b12f0e4247fc2333df1891a04710e98f80c4c1b1b948dbc1cc4bc9e0e1b54aa6,primary_candidate_retaining,3131|20251231|range23_highest_close_breakout|3|confirmation_d20_close,3131,,202511,20251217,20251217,12,20251231,10,9,False,False,accepted,none,113,20260713,20260713,False,no_breakout_requirement,只找可持續上漲起點，不要求高點突破,True,20251217,0,hit20_by15_hold20_to_d20,15 日內收盤達 +20%，之後至 D+20 每日收盤都不跌回 +20% 以下,True,20251217,0,1380.0,1380.0,1.0,11,29.7101,27.5362,33.3333,False,False,False,False,,False,launch_within_126d,False,True,research_only_future_outcome_label_not_tradable_trigger,conservative_next_month_17th_or_first_official_snapshot_not_exact_company_release_timestamp,False,False
2026-08-02 19:47:54 Asia/Taipei,revenue_unreacted_range,revenue_unreacted_range_launch_timing_feature_audit,launch_timing_breakout_feature_v4_20260802,84424e2ce456a0334268b54851d8a395f0cf3826fa755d0e589b2a797005d84e,89df0f3a5d19facb9169970450108b0bb32d0b41548d1a834fa4055bbe323e21,a109e7e2f041f7fa116a5d123dfc4b4bd24f508ece7b2e9721e44c293a608fdb,revenue_unreacted_range_source_snapshot_asof_20260713,source_snapshot_projection_v1_20260731,raw_source_and_price_truncated_before_source_first_episode_assembly_v1,20260713,89df0f3a5d19facb9169970450108b0bb32d0b41548d1a834fa4055bbe323e21,b6eec3d62cca5b32efbe9b81acc1dcc6709f37c77f7af59eb860c23603422787,c7a76d7c1d531d248e04106e4191d3efd268dadbc1aa4ff08a404ef0e22a5c29,379fd42dd2c1298f6e67dbede798bccb2679d4c58bc56742518234cec8d11aac,revenue_unreacted_range_fixed_confirmation_feature_contrast_audit,fixed_range23_breakout_3d_confirmation_d20_v2_anomaly_candidate_primary,1710,0f1689d03a54f97f3cff73e9c9245b6daabce62ee8de80696e9a59779d66b968,1710,b12f0e4247fc2333df1891a04710e98f80c4c1b1b948dbc1cc4bc9e0e1b54aa6,primary_candidate_retaining,3131|20251231|range23_highest_close_breakout|3|confirmation_d20_close,3131,,202511,20251217,20251217,12,20251231,10,9,False,False,accepted,none,113,20260713,20260713,False,no_breakout_requirement,只找可持續上漲起點，不要求高點突破,True,20251217,0,hit20_by15_retain10_to_d20,15 日內收盤達 +20%，之後至 D+20 守住 +10%，且 D+20 仍達 +20%,True,20251217,0,1380.0,1380.0,1.0,11,29.7101,27.5362,33.3333,False,False,False,False,,False,launch_within_126d,False,True,research_only_future_outcome_label_not_tradable_trigger,conservative_next_month_17th_or_first_official_snapshot_not_exact_company_release_timestamp,False,False
2026-08-02 19:47:54 Asia/Taipei,revenue_unreacted_range,revenue_unreacted_range_launch_timing_feature_audit,launch_timing_breakout_feature_v4_20260802,84424e2ce456a0334268b54851d8a395f0cf3826fa755d0e589b2a797005d84e,89df0f3a5d19facb9169970450108b0bb32d0b41548d1a834fa4055bbe323e21,a109e7e2f041f7fa116a5d123dfc4b4bd24f508ece7b2e9721e44c293a608fdb,revenue_unreacted_range_source_snapshot_asof_20260713,source_snapshot_projection_v1_20260731,raw_source_and_price_truncated_before_source_first_episode_assembly_v1,20260713,89df0f3a5d19facb9169970450108b0bb32d0b41548d1a834fa4055bbe323e21,b6eec3d62cca5b32efbe9b81acc1dcc6709f37c77f7af59eb860c23603422787,c7a76d7c1d531d248e04106e4191d3efd268dadbc1aa4ff08a404ef0e22a5c29,379fd42dd2c1298f6e67dbede798bccb2679d4c58bc56742518234cec8d11aac,revenue_unreacted_range_fixed_confirmation_feature_contrast_audit,fixed_range23_breakout_3d_confirmation_d20_v2_anomaly_candidate_primary,1710,0f1689d03a54f97f3cff73e9c9245b6daabce62ee8de80696e9a59779d66b968,1710,b12f0e4247fc2333df1891a04710e98f80c4c1b1b948dbc1cc4bc9e0e1b54aa6,primary_candidate_retaining,3135|20260313|range23_highest_close_breakout|3|confirmation_d20_close,3135,,202601,20260217,20260223,103,20260313,3,14,True,False,accepted,none,74,20260713,20260713,False,close_breakout_prev20,收盤突破前 20 日最高收盤價,True,20260318,16,d20_close_ge20,發動後第 20 個交易日收盤仍上漲至少 20%,True,20260427,42,138.5,138.5,1.0,6,62.4549,22.3827,62.4549,False,False,False,False,,False,launch_within_126d,False,True,research_only_future_outcome_label_not_tradable_trigger,conservative_next_month_17th_or_first_official_snapshot_not_exact_company_release_timestamp,False,False
2026-08-02 19:47:54 Asia/Taipei,revenue_unreacted_range,revenue_unreacted_range_launch_timing_feature_audit,launch_timing_breakout_feature_v4_20260802,84424e2ce456a0334268b54851d8a395f0cf3826fa755d0e589b2a797005d84e,89df0f3a5d19facb9169970450108b0bb32d0b41548d1a834fa4055bbe323e21,a109e7e2f041f7fa116a5d123dfc4b4bd24f508ece7b2e9721e44c293a608fdb,revenue_unreacted_range_source_snapshot_asof_20260713,source_snapshot_projection_v1_20260731,raw_source_and_price_truncated_before_source_first_episode_assembly_v1,20260713,89df0f3a5d19facb9169970450108b0bb32d0b41548d1a834fa4055bbe323e21,b6eec3d62cca5b32efbe9b81acc1dcc6709f37c77f7af59eb860c23603422787,c7a76d7c1d531d248e04106e4191d3efd268dadbc1aa4ff08a404ef0e22a5c29,379fd42dd2c1298f6e67dbede798bccb2679d4c58bc56742518234cec8d11aac,revenue_unreacted_range_fixed_confirmation_feature_contrast_audit,fixed_range23_breakout_3d_confirmation_d20_v2_anomaly_candidate_primary,1710,0f1689d03a54f97f3cff73e9c9245b6daabce62ee8de80696e9a59779d66b968,1710,b12f0e4247fc2333df1891a04710e98f80c4c1b1b948dbc1cc4bc9e0e1b54aa6,primary_candidate_retaining,3135|20260313|range23_highest_close_breakout|3|confirmation_d20_close,3135,,202601,20260217,20260223,103,20260313,3,14,True,False,accepted,none,74,20260713,20260713,False,close_breakout_prev20,收盤突破前 20 日最高收盤價,True,20260318,16,hit20_by15_hold20_to_d20,15 日內收盤達 +20%，之後至 D+20 每日收盤都不跌回 +20% 以下,True,20260427,42,138.5,138.5,1.0,6,62.4549,22.3827,62.4549,False,False,False,False,,False,launch_within_126d,False,True,research_only_future_outcome_label_not_tradable_trigger,conservative_next_month_17th_or_first_official_snapshot_not_exact_company_release_timestamp,False,False
2026-08-02 19:47:54 Asia/Taipei,revenue_unreacted_range,revenue_unreacted_range_launch_timing_feature_audit,launch_timing_breakout_feature_v4_20260802,84424e2ce456a0334268b54851d8a395f0cf3826fa755d0e589b2a797005d84e,89df0f3a5d19facb9169970450108b0bb32d0b41548d1a834fa4055bbe323e21,a109e7e2f041f7fa116a5d123dfc4b4bd24f508ece7b2e9721e44c293a608fdb,revenue_unreacted_range_source_snapshot_asof_20260713,source_snapshot_projection_v1_20260731,raw_source_and_price_truncated_before_source_first_episode_assembly_v1,20260713,89df0f3a5d19facb9169970450108b0bb32d0b41548d1a834fa4055bbe323e21,b6eec3d62cca5b32efbe9b81acc1dcc6709f37c77f7af59eb860c23603422787,c7a76d7c1d531d248e04106e4191d3efd268dadbc1aa4ff08a404ef0e22a5c29,379fd42dd2c1298f6e67dbede798bccb2679d4c58bc56742518234cec8d11aac,revenue_unreacted_range_fixed_confirmation_feature_contrast_audit,fixed_range23_breakout_3d_confirmation_d20_v2_anomaly_candidate_primary,1710,0f1689d03a54f97f3cff73e9c9245b6daabce62ee8de80696e9a59779d66b968,1710,b12f0e4247fc2333df1891a04710e98f80c4c1b1b948dbc1cc4bc9e0e1b54aa6,primary_candidate_retaining,3135|20260313|range23_highest_close_breakout|3|confirmation_d20_close,3135,,202601,20260217,20260223,103,20260313,3,14,True,False,accepted,none,74,20260713,20260713,False,close_breakout_prev20,收盤突破前 20 日最高收盤價,True,20260318,16,hit20_by15_retain10_to_d20,15 日內收盤達 +20%，之後至 D+20 守住 +10%，且 D+20 仍達 +20%,True,20260427,42,138.5,138.5,1.0,6,62.4549,22.3827,62.4549,False,False,False,False,,False,launch_within_126d,False,True,research_only_future_outcome_label_not_tradable_trigger,conservative_next_month_17th_or_first_official_snapshot_not_exact_company_release_timestamp,False,False
2026-08-02 19:47:54 Asia/Taipei,revenue_unreacted_range,revenue_unreacted_range_launch_timing_feature_audit,launch_timing_breakout_feature_v4_20260802,84424e2ce456a0334268b54851d8a395f0cf3826fa755d0e589b2a797005d84e,89df0f3a5d19facb9169970450108b0bb32d0b41548d1a834fa4055bbe323e21,a109e7e2f041f7fa116a5d123dfc4b4bd24f508ece7b2e9721e44c293a608fdb,revenue_unreacted_range_source_snapshot_asof_20260713,source_snapshot_projection_v1_20260731,raw_source_and_price_truncated_before_source_first_episode_assembly_v1,20260713,89df0f3a5d19facb9169970450108b0bb32d0b41548d1a834fa4055bbe323e21,b6eec3d62cca5b32efbe9b81acc1dcc6709f37c77f7af59eb860c23603422787,c7a76d7c1d531d248e04106e4191d3efd268dadbc1aa4ff08a404ef0e22a5c29,379fd42dd2c1298f6e67dbede798bccb2679d4c58bc56742518234cec8d11aac,revenue_unreacted_range_fixed_confirmation_feature_contrast_audit,fixed_range23_breakout_3d_confirmation_d20_v2_anomaly_candidate_primary,1710,0f1689d03a54f97f3cff73e9c9245b6daabce62ee8de80696e9a59779d66b968,1710,b12f0e4247fc2333df1891a04710e98f80c4c1b1b948dbc1cc4bc9e0e1b54aa6,primary_candidate_retaining,3135|20260313|range23_highest_close_breakout|3|confirmation_d20_close,3135,,202601,20260217,20260223,103,20260313,3,14,True,False,accepted,none,74,20260713,20260713,False,close_breakout_prev40,收盤突破前 40 日最高收盤價,True,20260319,17,d20_close_ge20,發動後第 20 個交易日收盤仍上漲至少 20%,True,20260505,47,163.0,163.0,1.0,5,47.2393,15.3374,59.816,False,False,False,False,,False,launch_within_126d,False,True,research_only_future_outcome_label_not_tradable_trigger,conservative_next_month_17th_or_first_official_snapshot_not_exact_company_release_timestamp,False,False
2026-08-02 19:47:54 Asia/Taipei,revenue_unreacted_range,revenue_unreacted_range_launch_timing_feature_audit,launch_timing_breakout_feature_v4_20260802,84424e2ce456a0334268b54851d8a395f0cf3826fa755d0e589b2a797005d84e,89df0f3a5d19facb9169970450108b0bb32d0b41548d1a834fa4055bbe323e21,a109e7e2f041f7fa116a5d123dfc4b4bd24f508ece7b2e9721e44c293a608fdb,revenue_unreacted_range_source_snapshot_asof_20260713,source_snapshot_projection_v1_20260731,raw_source_and_price_truncated_before_source_first_episode_assembly_v1,20260713,89df0f3a5d19facb9169970450108b0bb32d0b41548d1a834fa4055bbe323e21,b6eec3d62cca5b32efbe9b81acc1dcc6709f37c77f7af59eb860c23603422787,c7a76d7c1d531d248e04106e4191d3efd268dadbc1aa4ff08a404ef0e22a5c29,379fd42dd2c1298f6e67dbede798bccb2679d4c58bc56742518234cec8d11aac,revenue_unreacted_range_fixed_confirmation_feature_contrast_audit,fixed_range23_breakout_3d_confirmation_d20_v2_anomaly_candidate_primary,1710,0f1689d03a54f97f3cff73e9c9245b6daabce62ee8de80696e9a59779d66b968,1710,b12f0e4247fc2333df1891a04710e98f80c4c1b1b948dbc1cc4bc9e0e1b54aa6,primary_candidate_retaining,3135|20260313|range23_highest_close_breakout|3|confirmation_d20_close,3135,,202601,20260217,20260223,103,20260313,3,14,True,False,accepted,none,74,20260713,20260713,False,close_breakout_prev40,收盤突破前 40 日最高收盤價,True,20260319,17,hit20_by15_hold20_to_d20,15 日內收盤達 +20%，之後至 D+20 每日收盤都不跌回 +20% 以下,False,,,,,,,,,,False,False,False,False,,False,right_censored_before_126d,False,True,research_only_future_outcome_label_not_tradable_trigger,conservative_next_month_17th_or_first_official_snapshot_not_exact_company_release_timestamp,False,False
2026-08-02 19:47:54 Asia/Taipei,revenue_unreacted_range,revenue_unreacted_range_launch_timing_feature_audit,launch_timing_breakout_feature_v4_20260802,84424e2ce456a0334268b54851d8a395f0cf3826fa755d0e589b2a797005d84e,89df0f3a5d19facb9169970450108b0bb32d0b41548d1a834fa4055bbe323e21,a109e7e2f041f7fa116a5d123dfc4b4bd24f508ece7b2e9721e44c293a608fdb,revenue_unreacted_range_source_snapshot_asof_20260713,source_snapshot_projection_v1_20260731,raw_source_and_price_truncated_before_source_first_episode_assembly_v1,20260713,89df0f3a5d19facb9169970450108b0bb32d0b41548d1a834fa4055bbe323e21,b6eec3d62cca5b32efbe9b81acc1dcc6709f37c77f7af59eb860c23603422787,c7a76d7c1d531d248e04106e4191d3efd268dadbc1aa4ff08a404ef0e22a5c29,379fd42dd2c1298f6e67dbede798bccb2679d4c58bc56742518234cec8d11aac,revenue_unreacted_range_fixed_confirmation_feature_contrast_audit,fixed_range23_breakout_3d_confirmation_d20_v2_anomaly_candidate_primary,1710,0f1689d03a54f97f3cff73e9c9245b6daabce62ee8de80696e9a59779d66b968,1710,b12f0e4247fc2333df1891a04710e98f80c4c1b1b948dbc1cc4bc9e0e1b54aa6,primary_candidate_retaining,3135|20260313|range23_highest_close_breakout|3|confirmation_d20_close,3135,,202601,20260217,20260223,103,20260313,3,14,True,False,accepted,none,74,20260713,20260713,False,close_breakout_prev40,收盤突破前 40 日最高收盤價,True,20260319,17,hit20_by15_retain10_to_d20,15 日內收盤達 +20%，之後至 D+20 守住 +10%，且 D+20 仍達 +20%,True,20260505,47,163.0,163.0,1.0,5,47.2393,15.3374,59.816,False,False,False,False,,False,launch_within_126d,False,True,research_only_future_outcome_label_not_tradable_trigger,conservative_next_month_17th_or_first_official_snapshot_not_exact_company_release_timestamp,False,False
2026-08-02 19:47:54 Asia/Taipei,revenue_unreacted_range,revenue_unreacted_range_launch_timing_feature_audit,launch_timing_breakout_feature_v4_20260802,84424e2ce456a0334268b54851d8a395f0cf3826fa755d0e589b2a797005d84e,89df0f3a5d19facb9169970450108b0bb32d0b41548d1a834fa4055bbe323e21,a109e7e2f041f7fa116a5d123dfc4b4bd24f508ece7b2e9721e44c293a608fdb,revenue_unreacted_range_source_snapshot_asof_20260713,source_snapshot_projection_v1_20260731,raw_source_and_price_truncated_before_source_first_episode_assembly_v1,20260713,89df0f3a5d19facb9169970450108b0bb32d0b41548d1a834fa4055bbe323e21,b6eec3d62cca5b32efbe9b81acc1dcc6709f37c77f7af59eb860c23603422787,c7a76d7c1d531d248e04106e4191d3efd268dadbc1aa4ff08a404ef0e22a5c29,379fd42dd2c1298f6e67dbede798bccb2679d4c58bc56742518234cec8d11aac,revenue_unreacted_range_fixed_confirmation_feature_contrast_audit,fixed_range23_breakout_3d_confirmation_d20_v2_anomaly_candidate_primary,1710,0f1689d03a54f97f3cff73e9c9245b6daabce62ee8de80696e9a59779d66b968,1710,b12f0e4247fc2333df1891a04710e98f80c4c1b1b948dbc1cc4bc9e0e1b54aa6,primary_candidate_retaining,3135|20260313|range23_highest_close_breakout|3|confirmation_d20_close,3135,,202601,20260217,20260223,103,20260313,3,14,True,False,accepted,none,74,20260713,20260713,False,close_breakout_prev60,收盤突破前 60 日最高收盤價,True,20260319,17,d20_close_ge20,發動後第 20 個交易日收盤仍上漲至少 20%,True,20260505,47,163.0,163.0,1.0,5,47.2393,15.3374,59.816,False,False,False,False,,False,launch_within_126d,False,True,research_only_future_outcome_label_not_tradable_trigger,conservative_next_month_17th_or_first_official_snapshot_not_exact_company_release_timestamp,False,False
2026-08-02 19:47:54 Asia/Taipei,revenue_unreacted_range,revenue_unreacted_range_launch_timing_feature_audit,launch_timing_breakout_feature_v4_20260802,84424e2ce456a0334268b54851d8a395f0cf3826fa755d0e589b2a797005d84e,89df0f3a5d19facb9169970450108b0bb32d0b41548d1a834fa4055bbe323e21,a109e7e2f041f7fa116a5d123dfc4b4bd24f508ece7b2e9721e44c293a608fdb,revenue_unreacted_range_source_snapshot_asof_20260713,source_snapshot_projection_v1_20260731,raw_source_and_price_truncated_before_source_first_episode_assembly_v1,20260713,89df0f3a5d19facb9169970450108b0bb32d0b41548d1a834fa4055bbe323e21,b6eec3d62cca5b32efbe9b81acc1dcc6709f37c77f7af59eb860c23603422787,c7a76d7c1d531d248e04106e4191d3efd268dadbc1aa4ff08a404ef0e22a5c29,379fd42dd2c1298f6e67dbede798bccb2679d4c58bc56742518234cec8d11aac,revenue_unreacted_range_fixed_confirmation_feature_contrast_audit,fixed_range23_breakout_3d_confirmation_d20_v2_anomaly_candidate_primary,1710,0f1689d03a54f97f3cff73e9c9245b6daabce62ee8de80696e9a59779d66b968,1710,b12f0e4247fc2333df1891a04710e98f80c4c1b1b948dbc1cc4bc9e0e1b54aa6,primary_candidate_retaining,3135|20260313|range23_highest_close_breakout|3|confirmation_d20_close,3135,,202601,20260217,20260223,103,20260313,3,14,True,False,accepted,none,74,20260713,20260713,False,close_breakout_prev60,收盤突破前 60 日最高收盤價,True,20260319,17,hit20_by15_hold20_to_d20,15 日內收盤達 +20%，之後至 D+20 每日收盤都不跌回 +20% 以下,False,,,,,,,,,,False,False,False,False,,False,right_censored_before_126d,False,True,research_only_future_outcome_label_not_tradable_trigger,conservative_next_month_17th_or_first_official_snapshot_not_exact_company_release_timestamp,False,False
2026-08-02 19:47:54 Asia/Taipei,revenue_unreacted_range,revenue_unreacted_range_launch_timing_feature_audit,launch_timing_breakout_feature_v4_20260802,84424e2ce456a0334268b54851d8a395f0cf3826fa755d0e589b2a797005d84e,89df0f3a5d19facb9169970450108b0bb32d0b41548d1a834fa4055bbe323e21,a109e7e2f041f7fa116a5d123dfc4b4bd24f508ece7b2e9721e44c293a608fdb,revenue_unreacted_range_source_snapshot_asof_20260713,source_snapshot_projection_v1_20260731,raw_source_and_price_truncated_before_source_first_episode_assembly_v1,20260713,89df0f3a5d19facb9169970450108b0bb32d0b41548d1a834fa4055bbe323e21,b6eec3d62cca5b32efbe9b81acc1dcc6709f37c77f7af59eb860c23603422787,c7a76d7c1d531d248e04106e4191d3efd268dadbc1aa4ff08a404ef0e22a5c29,379fd42dd2c1298f6e67dbede798bccb2679d4c58bc56742518234cec8d11aac,revenue_unreacted_range_fixed_confirmation_feature_contrast_audit,fixed_range23_breakout_3d_confirmation_d20_v2_anomaly_candidate_primary,1710,0f1689d03a54f97f3cff73e9c9245b6daabce62ee8de80696e9a59779d66b968,1710,b12f0e4247fc2333df1891a04710e98f80c4c1b1b948dbc1cc4bc9e0e1b54aa6,primary_candidate_retaining,3135|20260313|range23_highest_close_breakout|3|confirmation_d20_close,3135,,202601,20260217,20260223,103,20260313,3,14,True,False,accepted,none,74,20260713,20260713,False,close_breakout_prev60,收盤突破前 60 日最高收盤價,True,20260319,17,hit20_by15_retain10_to_d20,15 日內收盤達 +20%，之後至 D+20 守住 +10%，且 D+20 仍達 +20%,True,20260505,47,163.0,163.0,1.0,5,47.2393,15.3374,59.816,False,False,False,False,,False,launch_within_126d,False,True,research_only_future_outcome_label_not_tradable_trigger,conservative_next_month_17th_or_first_official_snapshot_not_exact_company_release_timestamp,False,False
2026-08-02 19:47:54 Asia/Taipei,revenue_unreacted_range,revenue_unreacted_range_launch_timing_feature_audit,launch_timing_breakout_feature_v4_20260802,84424e2ce456a0334268b54851d8a395f0cf3826fa755d0e589b2a797005d84e,89df0f3a5d19facb9169970450108b0bb32d0b41548d1a834fa4055bbe323e21,a109e7e2f041f7fa116a5d123dfc4b4bd24f508ece7b2e9721e44c293a608fdb,revenue_unreacted_range_source_snapshot_asof_20260713,source_snapshot_projection_v1_20260731,raw_source_and_price_truncated_before_source_first_episode_assembly_v1,20260713,89df0f3a5d19facb9169970450108b0bb32d0b41548d1a834fa4055bbe323e21,b6eec3d62cca5b32efbe9b81acc1dcc6709f37c77f7af59eb860c23603422787,c7a76d7c1d531d248e04106e4191d3efd268dadbc1aa4ff08a404ef0e22a5c29,379fd42dd2c1298f6e67dbede798bccb2679d4c58bc56742518234cec8d11aac,revenue_unreacted_range_fixed_confirmation_feature_contrast_audit,fixed_range23_breakout_3d_confirmation_d20_v2_anomaly_candidate_primary,1710,0f1689d03a54f97f3cff73e9c9245b6daabce62ee8de80696e9a59779d66b968,1710,b12f0e4247fc2333df1891a04710e98f80c4c1b1b948dbc1cc4bc9e0e1b54aa6,primary_candidate_retaining,3135|20260313|range23_highest_close_breakout|3|confirmation_d20_close,3135,,202601,20260217,20260223,103,20260313,3,14,True,False,accepted,none,74,20260713,20260713,False,no_breakout_requirement,只找可持續上漲起點，不要求高點突破,True,20260223,0,d20_close_ge20,發動後第 20 個交易日收盤仍上漲至少 20%,True,20260326,22,113.5,113.5,1.0,20,22.0264,22.0264,22.0264,False,False,False,False,,False,launch_within_126d,False,True,research_only_future_outcome_label_not_tradable_trigger,conservative_next_month_17th_or_first_official_snapshot_not_exact_company_release_timestamp,False,False
2026-08-02 19:47:54 Asia/Taipei,revenue_unreacted_range,revenue_unreacted_range_launch_timing_feature_audit,launch_timing_breakout_feature_v4_20260802,84424e2ce456a0334268b54851d8a395f0cf3826fa755d0e589b2a797005d84e,89df0f3a5d19facb9169970450108b0bb32d0b41548d1a834fa4055bbe323e21,a109e7e2f041f7fa116a5d123dfc4b4bd24f508ece7b2e9721e44c293a608fdb,revenue_unreacted_range_source_snapshot_asof_20260713,source_snapshot_projection_v1_20260731,raw_source_and_price_truncated_before_source_first_episode_assembly_v1,20260713,89df0f3a5d19facb9169970450108b0bb32d0b41548d1a834fa4055bbe323e21,b6eec3d62cca5b32efbe9b81acc1dcc6709f37c77f7af59eb860c23603422787,c7a76d7c1d531d248e04106e4191d3efd268dadbc1aa4ff08a404ef0e22a5c29,379fd42dd2c1298f6e67dbede798bccb2679d4c58bc56742518234cec8d11aac,revenue_unreacted_range_fixed_confirmation_feature_contrast_audit,fixed_range23_breakout_3d_confirmation_d20_v2_anomaly_candidate_primary,1710,0f1689d03a54f97f3cff73e9c9245b6daabce62ee8de80696e9a59779d66b968,1710,b12f0e4247fc2333df1891a04710e98f80c4c1b1b948dbc1cc4bc9e0e1b54aa6,primary_candidate_retaining,3135|20260313|range23_highest_close_breakout|3|confirmation_d20_close,3135,,202601,20260217,20260223,103,20260313,3,14,True,False,accepted,none,74,20260713,20260713,False,no_breakout_requirement,只找可持續上漲起點，不要求高點突破,True,20260223,0,hit20_by15_hold20_to_d20,15 日內收盤達 +20%，之後至 D+20 每日收盤都不跌回 +20% 以下,True,20260401,26,106.5,106.5,1.0,13,46.0094,21.5962,46.0094,False,False,False,False,,False,launch_within_126d,False,True,research_only_future_outcome_label_not_tradable_trigger,conservative_next_month_17th_or_first_official_snapshot_not_exact_company_release_timestamp,False,False
